artist,canciones
norbert,1
obie bermudez,1
offonoff,1
olivia newton-john,1
olivia rodrigo,1
oscar d'león,1
ozuna,1
pablo alborán,30
paramore,1
pardopardo,2
park bo gum,1
parkjiwoo,1
paul anka,2
paul kim,1
pharrell williams,1
pink sweat$,5
piso 21,10
post malone,2
prettymuch,1
prince royce,1
psy,1
rad museum,2
rafu warner,1
rangga jones,1
rawayana,7
reik,6
rey ruiz,2
ricardo arjona,4
rich vagos,1
ricky martin,1
rihanna,7
riize,2
rini,1
rio,2
rita payés,1
rixton,2
rm,6
romeo santos,1
ron pope,1
ronghao li,1
rosana,1
rosé,1
ruel,6
runy,2
ryan gosling,1
río roma,2
sabrina carpenter,1
salem ilese,1
sam kim,4
sam smith,8
sandoval,1
santiago cruz,9
say sue me,1
sb19,1
schwei,1
sebastian yatra,3
sebastián roa,1
sech,1
seo hyun jin,1
seulgi,1
seungkwan,2
seventeen,51
shakira,4
shawn mendes,4
shinee,7
shoi,1
shownu x hyungwon (monsta x),1
siam,1
sin bandera,15
sinb,1
slchld,10
so!yoon!,1
sole,1
sondia,1
sonora ponceña,1
soyou,2
stellar,1
steve aoki,1
stevie wonder,1
stray kids,9
sub urban,1
sung si kyung,1
suran,1
suzy,1
tabber,3
taemin,2
taeyang,3
taeyong,1
taylor swift,2
teddy swims,2
ten,1
thama,1
the 8,2
the kid laroi,1
the rose,12
the rudeboyz,1
the weeknd,1
thee sacred souls,1
thomas ng,1
thyan v,1
tini,1
tito nieves,3
tiziano ferro,1
tobii,1
tomorrow x together,18
tory lanez,1
tranzas,1
travie mccoy,1
treasure,1
twenty one pilots,2
twice,3
umi,1
v,11
vangan,1
vedo,1
vicente garcia,31
victor & leo,2
victor muñoz,1
victor ray,3
vincent blue,3
viviz,1
voz veis,1
vromance,1
víctor manuelle,2
wayv,1
weeekly,1
wilfrido vargas,1
willian,1
willie colón,3
willie gonzalez,1
winner,1
wonstein,1
wonwoo,1
woodz,1
woosung,5
xia,1
xxxtentacion,1
yami safdie,1
yang da il,1
yedira,1
yera,1
yg marley,1
yiyo sarante,1
youngsun,2
zedd,2
zerobaseone,2
zico,3
zion & lennox,1
楊宇騰yu,1
"죠지,강혜인",1
